CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutoryReasonForStop,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatuteReason,StatutatoryCitation,Road Type,ReasonForStop,ResonForStop,ReasonforStop,Year
12/23/13 13:50,62342.0,CT0000200,Ansonia,Racial Profile,100000194.0,1300014544.0,Incident ID,2013-10-01,,W,N,M,30.0,True,False,ANSONIA,MAIN,  ,  ,V,G,1.0,0,14-301,Stop Sign,,False,N,False,False,V,,,,,False,1.0,CT0000200,,2013-10-01 21:06:00-04:00,21:06,r1,,,,Stop Sign,,,2013
12/23/13 13:50,62345.0,CT0000200,Ansonia,Racial Profile,100000186.0,1300014550.0,Incident ID,2013-10-01,,W,N,F,41.0,True,True,ANSONIA,maple street,  ,  ,V,B,1.0,0,14-218a,Speed Related,,False,N,False,False,V,,,,,False,1.0,CT0000200,,2013-10-01 22:35:00-04:00,22:35,r1,,,,Speed Related,,,2013
12/23/13 13:50,62335.0,CT0000200,Ansonia,Racial Profile,100000046.0,1300014522.0,Incident ID,2013-10-01,,W,H,M,43.0,True,True,ANSONIA,maple st,  ,  ,V,B,1.0,0,01,Other,,False,N,False,False,I,,,,,False,1.0,CT0000200,,2013-10-01 13:39:00-04:00,13:39,r1,,,,Other,,,2013
12/23/13 13:50,62343.0,CT0000200,Ansonia,Racial Profile,100000193.0,1300014545.0,Incident ID,2013-10-01,,W,N,F,26.0,True,False,ANSONIA,00 MAIN,  ,  ,V,B,1.0,0,14-218a*SZ,Speed Related,,False,N,False,False,V,,,,,False,1.0,CT0000200,,2013-10-01 21:13:00-04:00,21:13,r1,,,,Speed Related,,,2013
12/23/13 13:50,62329.0,CT0000200,Ansonia,Racial Profile,100000046.0,1300014506.0,Incident ID,2013-10-01,,W,H,F,30.0,True,True,ANSONIA,clifton ave,  ,  ,V,G,1.0,0,01,Other,,False,N,False,False,I,,,,,False,1.0,CT0000200,,2013-10-01 08:01:00-04:00,08:01,r1,,,,Other,,,2013
12/23/13 13:50,62340.0,CT0000200,Ansonia,Racial Profile,100000199.0,1300014538.0,Incident ID,2013-10-01,,W,M,F,19.0,True,False,ANSONIA,"  MARSHALL LN/SCHUMACHER DR (ANSONIA, T002)",  ,  ,V,B,1.0,0,14-218a,Speed Related,,False,N,False,False,I,,,,,False,1.0,CT0000200,,2013-10-01 18:36:00-04:00,18:36,r1,,,,Speed Related,,,2013
12/23/13 13:50,62339.0,CT0000200,Ansonia,Racial Profile,100000199.0,1300014532.0,Incident ID,2013-10-01,,W,N,F,51.0,True,True,ANSONIA,Ford / Condon,  ,  ,V,B,1.0,0,14-218a,Speed Related,14-218a,False,N,False,False,W,,,,,False,1.0,CT0000200,,2013-10-01 16:49:00-04:00,16:49,r1,,,,Speed Related,,,2013
12/23/13 13:50,62344.0,CT0000200,Ansonia,Racial Profile,100000199.0,1300014549.0,Incident ID,2013-10-01,,W,N,F,20.0,True,True,ANSONIA,Franklin Street/Wakelee Avenue,  ,  ,V,G,1.0,0,14-301,Stop Sign,,False,N,False,False,V,,,,,False,1.0,CT0000200,,2013-10-01 22:24:00-04:00,22:24,r1,,,,Stop Sign,,,2013
12/23/13 13:50,62336.0,CT0000200,Ansonia,Racial Profile,100000186.0,1300014524.0,Incident ID,2013-10-01,,W,N,F,58.0,False,False,ANSONIA,division st @ main st,  ,  ,V,G,1.0,0,14-299,Traffic Control Signal,,False,N,False,False,V,,,,,False,1.0,CT0000200,,2013-10-01 15:37:00-04:00,15:37,r1,,,,Traffic Control Signal,,,2013
12/23/13 13:50,62338.0,CT0000200,Ansonia,Racial Profile,100000186.0,1300014528.0,Incident ID,2013-10-01,,B,N,F,30.0,True,True,ANSONIA,"000-1  HOWARD AV (ANSONIA, T002)",  ,  ,V,G,1.0,0,14-296aa(b1st,Cell Phone,,False,N,False,False,I,,,,,False,1.0,CT0000200,,2013-10-01 16:10:00-04:00,16:10,r1,,,,Cell Phone,,,2013
