CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
08/ 9/14 12:38,710418.0,CT005049E,Yale,Racial Profile,1762.0,,Traffic Stop Number,2013-10-21,,W,N,M,26.0,True,False,New Haven, Crown/Park,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,I,,,,,False,1.0,CT005049E,20140809123841008216,2013-10-21 02:29:00-04:00,02:29,r1,,,Traffic Control Signal,2013
08/ 9/14 12:43,710724.0,CT005049E,Yale,Racial Profile,1771.0,,Traffic Stop Number,2013-10-30,,B,N,F,19.0,True,True,New Haven, Chapel/Park,  ,  ,V,G,2.0,0,14-299,,True,C,False,False,I,,,,,False,1.0,CT005049E,20140809124341008522,2013-10-30 18:15:00-04:00,18:15,r1,,,Traffic Control Signal,2013
08/ 9/14 15:00,718463.0,CT005049E,Yale,Racial Profile,1773.0,,Traffic Stop Number,2013-11-01,,B,N,M,27.0,True,False,New Haven, Broadway,  ,  ,V,G,1.0,0,14-251,,False,N,False,False,M,,,,,False,1.0,CT005049E,20140809150021016262,2013-11-01 02:08:00-04:00,02:08,r1,,,Other,2013
08/ 9/14 11:27,705829.0,CT005049E,Yale,Racial Profile,1762.0,,Traffic Stop Number,2013-11-01,,W,H,M,24.0,True,True,New Haven, TOWER PARKWAY AND YORK SQUARE PLACE,  ,  ,V,G,3.0,1,14-279Z,14-147(c),False,N,False,True,M,,,,,False,1.0,CT005049E,20140809112738003626,2013-11-01 15:24:00-04:00,15:24,r1,,,Other,2013
08/ 9/14 12:45,710812.0,CT005049E,Yale,Racial Profile,1746.0,,Traffic Stop Number,2013-11-02,,W,N,M,60.0,True,False,New Haven, Crown/College,  ,  ,V,G,1.0,0,14-251,,False,N,False,False,I,,,,,False,1.0,CT005049E,20140809124508008610,2013-11-02 22:22:00-04:00,22:22,r1,,,Other,2013
08/ 9/14 15:00,718459.0,CT005049E,Yale,Racial Profile,1773.0,,Traffic Stop Number,2013-11-03,,B,N,F,32.0,True,False,New Haven, chapel / high st,  ,  ,V,G,1.0,0,14-12(a)*,,False,N,False,False,I,,,,,False,1.0,CT005049E,20140809150016016258,2013-11-03 00:18:00-04:00,00:18,r1,,,Registration,2013
08/ 9/14 15:00,718461.0,CT005049E,Yale,Racial Profile,1779.0,,Traffic Stop Number,2013-11-04,,B,N,M,30.0,True,False,New Haven, High St / Chapel St,  ,  ,V,G,1.0,0,14-99g(b),,False,N,False,False,I,,,,,False,1.0,CT005049E,20140809150018016260,2013-11-04 16:11:00-05:00,16:11,r1,,,Window Tint,2013
08/ 9/14 12:38,710384.0,CT005049E,Yale,Racial Profile,1726.0,,Traffic Stop Number,2013-11-05,,W,N,M,23.0,True,False,New Haven, Dixwell/Bristol,  ,  ,V,G,1.0,0,14-296aa(b),,False,N,False,False,W,,,,,False,1.0,CT005049E,20140809123808008182,2013-11-05 19:02:00-05:00,19:02,r1,,,Cell Phone,2013
08/ 9/14 12:37,710367.0,CT005049E,Yale,Racial Profile,1764.0,,Traffic Stop Number,2013-11-05,,W,N,F,97.0,True,True,New Haven, Broadway/York,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,W,,,,,False,1.0,CT005049E,20140809123751008165,2013-11-05 16:03:00-05:00,16:03,r1,,,Traffic Control Signal,2013
08/ 9/14 12:38,710388.0,CT005049E,Yale,Racial Profile,1729.0,,Traffic Stop Number,2013-11-05,,W,N,M,33.0,True,True,New Haven, Chapel/High,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,I,,,,,False,1.0,CT005049E,20140809123812008186,2013-11-05 18:21:00-05:00,18:21,r1,,,Traffic Control Signal,2013
