CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
04/28/14 12:38,471472.0,CT0019300,WCSU,Racial Profile,,21565.0,Incident Id,2014-01-17,,W,N,M,32.0,True,False,DANBURY,LAKE AVE EXT,  ,  ,V,G,1.0,0,14-243(A),,False,N,False,False,W,,,,,False,1.0,COLLECT,,2014-01-17 18:10:00-05:00,18:10,r1,,,Moving Violation,2014
04/28/14 12:39,475449.0,CT0019300,WCSU,Racial Profile,,21566.0,Incident Id,2014-02-03,,B,N,F,19.0,True,True,DANBURY,LAKE AVE,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,COLLECT,,2014-02-03 15:30:00-05:00,15:30,r1,,,Traffic Control Signal,2014
04/28/14 12:41,477527.0,CT0019300,WCSU,Racial Profile,,21567.0,Incident Id,2014-02-17,,W,N,F,32.0,True,True,DANBURY,MAPLE AVE,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,COLLECT,,2014-02-17 00:35:00-05:00,00:35,r1,,,Traffic Control Signal,2014
04/28/14 12:42,478393.0,CT0019300,WCSU,Racial Profile,,21568.0,Incident Id,2014-02-27,,W,H,M,26.0,True,True,DANBURY,WHITE ST,  ,  ,V,G,1.0,0,14-96A(A),,False,N,False,False,V,,,,,False,1.0,COLLECT,,2014-02-27 20:55:00-05:00,20:55,r1,,,Defective Lights,2014
04/28/14 12:42,478394.0,CT0019300,WCSU,Racial Profile,,21569.0,Incident Id,2014-02-28,,W,H,F,31.0,True,True,DANBURY,OSBORNE ST,  ,  ,V,G,3.0,1,14-296U,14-213B,False,N,False,False,M,,,,,False,1.0,COLLECT,,2014-02-28 21:30:00-05:00,21:30,r1,,,Other,2014
05/20/14 10:15,552531.0,CT0019300,WCSU,Racial Profile,,42693.0,Incident Id,2014-03-27,,W,N,M,78.0,True,False,DANBURY,WHITE ST,  ,  ,V,G,1.0,0,14-296AA,,False,N,False,False,I,,,,,False,1.0,COLLECT,,2014-03-27 16:48:00-04:00,16:48,r1,,,Cell Phone,2014
05/20/14 10:15,552527.0,CT0019300,WCSU,Racial Profile,,42689.0,Incident Id,2014-04-01,,A,N,F,25.0,True,False,DANBURY,WHITE ST,  ,  ,V,G,1.0,0,14-101,,False,N,False,False,W,,,,,False,1.0,COLLECT,,2014-04-01 17:55:00-04:00,17:55,r1,,,Other,2014
05/20/14 10:15,552529.0,CT0019300,WCSU,Racial Profile,,42691.0,Incident Id,2014-04-02,,W,N,M,28.0,True,False,DANBURY,UNIVERSITY BLVD,  ,  ,V,G,1.0,0,14-300C,,False,N,False,False,V,,,,,False,1.0,COLLECT,,2014-04-02 11:00:00-04:00,11:00,r1,,,Other,2014
05/20/14 10:15,552533.0,CT0019300,WCSU,Racial Profile,,42695.0,Incident Id,2014-04-28,,B,N,M,20.0,False,False,DANBURY,UNIVERSITY BLVD,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,V,,,,,False,1.0,COLLECT,,2014-04-28 18:04:00-04:00,18:04,r1,,,Stop Sign,2014
05/20/14 10:15,552534.0,CT0019300,WCSU,Racial Profile,,42696.0,Incident Id,2014-05-03,,W,N,M,21.0,True,False,DANBURY,LAKE AVE,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,COLLECT,,2014-05-03 22:15:00-04:00,22:15,r1,,,Traffic Control Signal,2014
