CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
04/ 8/15 17:10,1258751.0,CT0009502,New London,Racial Profile,PSC56023,101205,Incident Id,2015-01-01 00:00:00-05:00,January,B,N,M,32.0,True,False,NEW LONDON,222 BAYONET,  ,  ,V,G,2.0,0,14-244,,False,N,False,False,M,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-01 16:30:00-05:00,16:30,r2,38A-371,,Other,2015
04/ 8/15 17:10,1258755.0,CT0009502,New London,Racial Profile,PSC56032,101209,Incident Id,2015-01-01 00:00:00-05:00,January,W,N,M,58.0,True,False,NEW LONDON,STATE ST / EUGENE O'NEIL,  ,  ,E,G,1.0,0,14-96A,,False,N,False,False,V,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-01 01:42:00-05:00,01:42,r2,,,Defective Lights,2015
04/ 8/15 17:10,1258757.0,CT0009502,New London,Racial Profile,PSC56032,101211,Incident Id,2015-01-01 00:00:00-05:00,January,W,N,M,28.0,True,False,NEW LONDON,GOVERNOR WINTHROP & MERIDIAN,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-01 02:12:00-05:00,02:12,r2,,,Traffic Control Signal,2015
04/ 8/15 17:10,1258748.0,CT0009502,New London,Racial Profile,PSC56067,101202,Incident Id,2015-01-01 00:00:00-05:00,January,B,N,F,17.0,True,False,NEW LONDON,55 JAY ST,  ,  ,E,G,1.0,0,14-96AA,,False,N,False,False,V,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-01 20:04:00-05:00,20:04,r2,,,Defective Lights,2015
04/ 8/15 17:10,1258763.0,CT0009502,New London,Racial Profile,PSC56008,101217,Incident Id,2015-01-02 00:00:00-05:00,January,W,N,M,47.0,True,True,NEW LONDON,113 COLMAN ST,  ,  ,V,G,2.0,0,14-299,,False,N,False,False,I,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-02 13:29:00-05:00,13:29,r2,,,Traffic Control Signal,2015
04/ 8/15 17:10,1258764.0,CT0009502,New London,Racial Profile,PSC56008,101218,Incident Id,2015-01-02 00:00:00-05:00,January,W,N,M,30.0,True,False,NEW LONDON,100 COLMAN,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-02 12:49:00-05:00,12:49,r2,,,Traffic Control Signal,2015
04/ 8/15 17:10,1258762.0,CT0009502,New London,Racial Profile,PSC56020,101216,Incident Id,2015-01-02 00:00:00-05:00,January,A,N,M,57.0,False,False,NEW LONDON,MASONIC ST / EUGENE O'NEIL,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-02 16:54:00-05:00,16:54,r2,,,Traffic Control Signal,2015
04/ 8/15 17:10,1258760.0,CT0009502,New London,Racial Profile,PSC56023,101214,Incident Id,2015-01-02 00:00:00-05:00,January,W,N,M,49.0,False,False,NEW LONDON,COLMAN @ CEDAR GROVE,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,I,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-02 17:23:00-05:00,17:23,r2,,,Traffic Control Signal,2015
04/ 8/15 17:10,1258765.0,CT0009502,New London,Racial Profile,PSC56033,101219,Incident Id,2015-01-02 00:00:00-05:00,January,W,H,M,24.0,True,True,NEW LONDON,COLMAN @ REDDEN,  ,  ,V,G,2.0,0,14-299,,False,N,False,False,I,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-02 00:30:00-05:00,00:30,r2,,,Traffic Control Signal,2015
04/ 8/15 17:10,1258771.0,CT0009502,New London,Racial Profile,PSC56008,101225,Incident Id,2015-01-03 00:00:00-05:00,January,W,N,F,32.0,True,True,NEW LONDON,48 OCEAN,  ,  ,V,G,2.0,1,14-12A,,False,N,False,False,M,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-03 01:22:00-05:00,01:22,r2,,,Registration,2015
04/ 8/15 17:10,1258773.0,CT0009502,New London,Racial Profile,PSC56008,101227,Incident Id,2015-01-03 00:00:00-05:00,January,W,N,M,60.0,True,True,NEW LONDON,7 BAYONET ST,  ,  ,V,G,1.0,0,14-223A,,False,N,False,False,I,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-03 18:14:00-05:00,18:14,r2,,,Other,2015
04/ 8/15 17:10,1258768.0,CT0009502,New London,Racial Profile,PSC56019,101222,Incident Id,2015-01-03 00:00:00-05:00,January,W,N,M,55.0,False,False,NEW LONDON,BANK ST / STATE ST,  ,  ,V,G,1.0,0,14-303,,False,N,False,False,V,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-03 21:42:00-05:00,21:42,r2,,,Other,2015
04/ 8/15 17:10,1258776.0,CT0009502,New London,Racial Profile,PSC56022,101230,Incident Id,2015-01-03 00:00:00-05:00,January,W,N,F,30.0,True,False,NEW LONDON,BANK ST / GOLDEN ST,  ,  ,V,G,1.0,0,14-303,,False,N,False,False,I,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-03 00:18:00-05:00,00:18,r2,,,Other,2015
04/ 8/15 17:10,1258766.0,CT0009502,New London,Racial Profile,PSC56052,101220,Incident Id,2015-01-03 00:00:00-05:00,January,W,N,M,73.0,True,True,NEW LONDON,15 BROAD ST,  ,  ,V,G,1.0,0,14-232B,,False,N,False,False,I,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-03 14:01:00-05:00,14:01,r2,,,Moving Violation,2015
04/ 8/15 17:10,1258774.0,CT0009502,New London,Racial Profile,PSC56090,101228,Incident Id,2015-01-03 00:00:00-05:00,January,B,N,M,44.0,True,True,NEW LONDON,BANK ST @ OCEAN AV,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,I,,,,,False,1.0,COLLECT,06aebee1-d2a2-4295-a,2015-01-03 12:05:00-05:00,12:05,r2,,,Traffic Control Signal,2015
