CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
10/3/2017,1605.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-1-RP,Case No.,"Friday, January 01, 2016",January,W,N,M,38,1,0,Groton, ROUTE 12 ,,,V,G,1.0,0,14-299,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 0:59,12:59 AM,r3,,,Traffic Control Signal,2016
10/3/2017,1606.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-8-RP,Case No.,"Friday, January 01, 2016",January,B,N,M,41,0,0,Groton, ROUTE 12 ,,,V,G,3.0,0,14-236,,0,N,0,1,M,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 0:59,12:59 AM,r3,21a-279(a),,Moving Violation,2016
10/3/2017,1607.0,CT00A5900,Groton Town,Racial Profile,MCCAG,16-1536-RP,Case No.,"Friday, January 01, 2016",January,W,N,M,34,1,1,Groton, GOLD STAR HWY,,,V,G,1.0,0,14-236,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 3:18,3:18 AM,r3,,,Moving Violation,2016
10/3/2017,1608.0,CT00A5900,Groton Town,Racial Profile,MCCAG,16-22-RP,Case No.,"Friday, January 01, 2016",January,W,N,M,41,1,0,Groton, NORTH RD,,,V,G,1.0,1,14-243(b),,0,N,0,1,U,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 3:43,3:43 AM,r3,14-227a,,Moving Violation,2016
10/3/2017,1609.0,CT00A5900,Groton Town,Racial Profile,WOLFW,16-311-RP,Case No.,"Friday, January 01, 2016",January,W,N,M,20,0,1,Groton, NEW LONDON RD,,,E,G,1.0,0,14-96,,0,N,0,0,W,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 17:40,5:40 PM,r3,,,Defective Lights,2016
10/3/2017,1610.0,CT00A5900,Groton Town,Racial Profile,SAVIR,16-9-RP,Case No.,"Friday, January 01, 2016",January,W,N,F,65,1,1,Groton, NORTH RD,,,V,B,1.0,0,14-230(a),,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 20:43,8:43 PM,r3,,,Moving Violation,2016
10/3/2017,1611.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-10-RP,Case No.,"Friday, January 01, 2016",January,I,N,M,20,0,0,Groton, POQUONNOCK RD,,,V,G,1.0,0,14-236,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 21:10,9:10 PM,r3,,,Moving Violation,2016
10/3/2017,1612.0,CT00A5900,Groton Town,Racial Profile,SAVIR,16-11-RP,Case No.,"Friday, January 01, 2016",January,B,N,F,34,1,1,Groton, NORTH RD,,,E,B,1.0,0,14-96b,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 21:25,9:25 PM,r3,,,Defective Lights,2016
10/3/2017,1613.0,CT00A5900,Groton Town,Racial Profile,SNYDK,16-24-RP,Case No.,"Friday, January 01, 2016",January,W,H,M,30,1,0,Groton, ROUTE 117 ,,,V,G,2.0,0,14-236,,0,N,0,0,M,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 21:28,9:28 PM,r3,14-215a,,Moving Violation,2016
10/3/2017,1614.0,CT00A5900,Groton Town,Racial Profile,SAVIR,16-12-RP,Case No.,"Friday, January 01, 2016",January,W,N,M,20,1,1,Groton, POQUONNOCK RD,,,V,B,1.0,0,14-299,,1,C,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 22:08,10:08 PM,r3,,,Traffic Control Signal,2016
10/3/2017,1615.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-13-RP,Case No.,"Friday, January 01, 2016",January,W,N,M,78,1,0,Groton, ROUTE 12 ,,,E,G,1.0,0,14-96e,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 22:22,10:22 PM,r3,,,Defective Lights,2016
10/3/2017,1616.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-14-RP,Case No.,"Friday, January 01, 2016",January,W,N,M,55,0,0,Groton, ROUTE 12 ,,,V,G,1.0,0,14-236,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 22:53,10:53 PM,r3,,,Moving Violation,2016
10/3/2017,1617.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-15-RP,Case No.,"Friday, January 01, 2016",January,W,N,M,66,0,0,Groton, ROUTE 12 ,,,V,G,1.0,0,14-236,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/1/2016 23:19,11:19 PM,r3,14-96e,,Moving Violation,2016
10/3/2017,1618.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-16-RP,Case No.,"Saturday, January 02, 2016",January,W,N,M,26,0,0,Groton, ROUTE 12 ,,,V,G,1.0,0,14-236,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/2/2016 0:17,12:17 AM,r3,,,Moving Violation,2016
10/3/2017,1619.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-17-RP,Case No.,"Saturday, January 02, 2016",January,B,N,M,32,0,0,Groton, GOLD STAR HWY,,,V,G,1.0,0,14-299,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/2/2016 1:09,1:09 AM,r3,,,Traffic Control Signal,2016
10/3/2017,1620.0,CT00A5900,Groton Town,Racial Profile,KORTE,16-18-RP,Case No.,"Saturday, January 02, 2016",January,B,N,F,26,1,1,Groton, ROUTE 12 ,,,V,B,2.0,0,14-12(a)*,,0,N,0,0,V,,,,,0,1.0,CT00A5900,ManualUpload,1/2/2016 1:28,1:28 AM,r3,,,Registration,2016
10/3/2017,1621.0,CT00A5900,Groton Town,Racial Profile,SAVIR,16-19-RP,Case No.,"Saturday, January 02, 2016",January,I,N,F,21,1,1,Groton, LONG HILL RD,,,E,B,1.0,0,14-96b,,0,N,0,0,I,,,,,0,1.0,CT00A5900,ManualUpload,1/2/2016 2:00,2:00 AM,r3,14-36(a),,Defective Lights,2016
10/3/2017,1622.0,CT00A5900,Groton Town,Racial Profile,SAVIR,16-20-RP,Case No.,"Saturday, January 02, 2016",January,I,N,F,21,1,1,Groton, LONG HILL RD,,,E,B,1.0,0,14-96b,,0,N,0,0,I,,,,,0,1.0,CT00A5900,ManualUpload,1/2/2016 2:00,2:00 AM,r3,14-36(a),,Defective Lights,2016
10/3/2017,1623.0,CT00A5900,Groton Town,Racial Profile,SAVIR,16-154-RP,Case No.,"Saturday, January 02, 2016",January,I,N,F,21,1,1,Groton, WEST MAIN ST,,,E,B,1.0,0,14-96b,,0,N,0,0,I,,,,,0,1.0,CT00A5900,ManualUpload,1/2/2016 2:00,2:00 AM,r3,14-36(a),,Defective Lights,2016
10/3/2017,1624.0,CT00A5900,Groton Town,Racial Profile,BREAG,16-21-RP,Case No.,"Saturday, January 02, 2016",January,I,N,M,57,1,1,Groton, ROUTE 12 ,,,E,B,3.0,0,14-96c,,0,N,0,0,W,,,,,0,1.0,CT00A5900,ManualUpload,1/2/2016 2:57,2:57 AM,r3,,,Defective Lights,2016
10/3/2017,1625.0,CT00A5900,Groton Town,Racial Profile,MARTA,16-205-RP,Case No.,"Saturday, January 02, 2016",January,W,N,F,21,1,1,Groton, POQUONNOCK RD,,,V,G,1.0,0,14-299,,0,N,0,0,W,,,,,0,1.0,CT00A5900,ManualUpload,1/2/2016 3:25,3:25 AM,r3,,,Traffic Control Signal,2016
