CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
7/21/2016 11:36,2698418.0,CT0016700,Woodbridge,Racial Profile,217,1600000107,Incident ID,"Sunday, January 03, 2016",January,B,N,M,28,1,0,Woodbridge,63/bradley,  ,  ,V,G,1.0,0,14-218a,,0,N,0,0,V,,,,,0,1.0,CT0016700,131135890158284458,1/3/2016 0:44,12:44:00 AM,r3,,,Speed Related,2016
7/21/2016 11:37,2698610.0,CT0016700,Woodbridge,Racial Profile,238,1600001689,Incident ID,"Monday, February 01, 2016",February,B,N,M,62,1,0,Woodbridge,LUCY STREET,  ,  ,V,G,2.0,1,14-215,,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890203607978,2/1/2016 11:03,11:03:42 AM,r3,,,Administrative Offense,2016
7/21/2016 11:37,2698601.0,CT0016700,Woodbridge,Racial Profile,234,1600002691,Incident ID,"Friday, February 19, 2016",February,W,N,F,50,1,0,Woodbridge,dillion/sperry,  ,  ,V,B,1.0,0,14-218a,,0,N,0,0,W,,,,,0,1.0,CT0016700,131135890203607978,2/19/2016 17:29,5:29:33 PM,r3,,,Speed Related,2016
7/21/2016 11:37,2698732.0,CT0016700,Woodbridge,Racial Profile,217,1600004206,Incident ID,"Friday, March 18, 2016",March,W,N,M,60,1,1,Woodbridge,211 semour rd,  ,  ,I,G,1.0,0,Investigation,,0,N,0,0,N,,,,,0,1.0,CT0016700,131135890260965674,3/18/2016 3:51,3:51:05 AM,r3,,,Other,2016
7/21/2016 11:37,2698884.0,CT0016700,Woodbridge,Racial Profile,232,1600006666,Incident ID,"Tuesday, April 26, 2016",April,B,N,M,30,1,0,Woodbridge,litchfield/new haven line,  ,  ,V,G,2.0,1,14-218a,,1,I,0,0,U,,,,,0,1.0,CT0016700,131135890317541930,4/26/2016 0:48,12:48:48 AM,r3,,,Speed Related,2016
7/21/2016 11:37,2699234.0,CT0016700,Woodbridge,Racial Profile,217,1600010963,Incident ID,"Wednesday, June 29, 2016",June,W,N,M,42,1,0,Woodbridge,69/clark,  ,  ,V,G,1.0,0,14-232(1),,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890454919082,6/29/2016 6:05,6:05:56 AM,r3,,,Moving Violation,2016
8/10/2016 0:15,2850655.0,CT0016700,Woodbridge,Racial Profile,212,1600011523,Incident ID,"Friday, July 08, 2016",July,W,N,F,49,1,0,Woodbridge,CENTER/MEETINGHOUSE,  ,  ,V,B,1.0,0,14-296AAB,,0,N,0,0,I,,,,,0,1.0,CT0016700,131152761035759693,7/8/2016 15:55,3:55:56 PM,r3,,,Cell Phone,2016
9/10/2016 0:15,2872600.0,CT0016700,Woodbridge,Racial Profile,189,1600014606,Incident ID,"Tuesday, August 23, 2016",August,W,N,M,45,1,0,Woodbridge,69/clark,  ,  ,V,G,1.0,0,14-12(a),,0,N,0,0,V,,,,,0,1.0,CT0016700,131179545042498611,8/23/2016 20:48,8:48:25 PM,r3,14-96a(a),,Registration,2016
10/10/2016 0:15,2916881.0,CT0016700,Woodbridge,Racial Profile,182,1600015861,Incident ID,"Sunday, September 11, 2016",September,W,N,F,21,1,0,Woodbridge,beecher / rt 313,  ,  ,V,G,1.0,0,14-218*,,0,N,0,0,I,,,,,0,1.0,CT0016700,131205465045272184,9/11/2016 14:13,2:13:36 PM,r3,14-218*,,Speed Related,2016
10/10/2016 0:15,2916889.0,CT0016700,Woodbridge,Racial Profile,182,1600016749,Incident ID,"Sunday, September 25, 2016",September,W,N,F,57,1,0,Woodbridge,dillon / rt 63,  ,  ,V,G,1.0,0,14-218a,,0,N,0,0,V,,,,,0,1.0,CT0016700,131205465045272184,9/25/2016 8:30,8:30:15 AM,r3,14-218a,,Speed Related,2016
7/21/2016 11:36,2698396.0,CT0016700,Woodbridge,Racial Profile,177,1600000031,Incident ID,"Friday, January 01, 2016",January,W,N,F,31,1,0,WOODBRIDGE,rt63/lucy,  ,  ,V,G,1.0,0,14-12,,0,N,0,0,V,,,,,0,1.0,CT0016700,131135890158284458,1/1/2016 10:04,10:04:05 AM,r3,,,Registration,2016
7/21/2016 11:36,2698404.0,CT0016700,Woodbridge,Racial Profile,197,1600000012,Incident ID,"Friday, January 01, 2016",January,W,N,F,44,1,0,Woodbridge,AMITY RD/LUCY ST,  ,  ,V,G,2.0,1,14-227a,,0,N,0,1,M,,,,,0,1.0,CT0016700,131135890158284458,1/1/2016 1:13,1:13:52 AM,r3,,,Other,2016
7/21/2016 11:36,2698450.0,CT0016700,Woodbridge,Racial Profile,238,1600000021,Incident ID,"Friday, January 01, 2016",January,W,N,M,41,1,0,Woodbridge,RT313/rimmon Hill,  ,  ,V,B,1.0,0,14-219(c)(2),,0,N,0,0,M,,,,,0,1.0,CT0016700,131135890158284458,1/1/2016 7:43,7:43:39 AM,r3,,,Speed Related,2016
7/21/2016 11:36,2698451.0,CT0016700,Woodbridge,Racial Profile,238,1600000029,Incident ID,"Friday, January 01, 2016",January,W,N,M,47,1,0,Woodbridge,Lucy/Rt 69,  ,  ,V,B,1.0,0,14-301,,0,N,0,0,V,,,,,0,1.0,CT0016700,131135890158284458,1/1/2016 9:49,9:49:29 AM,r3,,,Stop Sign,2016
7/21/2016 11:36,2698452.0,CT0016700,Woodbridge,Racial Profile,238,1600000030,Incident ID,"Friday, January 01, 2016",January,W,N,M,35,1,0,NEW HAVEN,RT 69  / LUCY,  ,  ,V,G,3.0,1,14-18(a)(2),,0,N,0,0,M,,,,,0,1.0,CT0016700,131135890158284458,1/1/2016 9:57,9:57:54 AM,r3,14-215,,Display of Plates,2016
7/21/2016 11:36,2698453.0,CT0016700,Woodbridge,Racial Profile,238,1600000032,Incident ID,"Friday, January 01, 2016",January,W,N,M,22,1,0,Woodbridge,"  LITCHFIELD TPK/LUCY ST (Woodbridge, T167)",  ,  ,V,B,1.0,0,14-296aa(b1st,,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890158284458,1/1/2016 10:47,10:47:53 AM,r3,,,Cell Phone,2016
7/21/2016 11:36,2698454.0,CT0016700,Woodbridge,Racial Profile,238,1600000033,Incident ID,"Friday, January 01, 2016",January,W,N,F,65,1,0,Woodbridge,"  LITCHFIELD TPK/LUCY ST (Woodbridge, T167)",  ,  ,V,G,1.0,0,14-12(a)*,,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890158284458,1/1/2016 11:15,11:15:52 AM,r3,,,Registration,2016
7/21/2016 11:36,2698455.0,CT0016700,Woodbridge,Racial Profile,238,1600000034,Incident ID,"Friday, January 01, 2016",January,B,N,M,21,1,0,Woodbridge,LUCY/RT 69,  ,  ,V,G,3.0,1,14-215,,1,C,0,0,M,,,,,0,1.0,CT0016700,131135890158284458,1/1/2016 11:39,11:39:26 AM,r3,,,Administrative Offense,2016
7/21/2016 11:36,2698397.0,CT0016700,Woodbridge,Racial Profile,177,1600000074,Incident ID,"Saturday, January 02, 2016",January,W,H,F,27,1,0,Woodbridge,"  AMITY RD/BURNT SWAMP RD (Woodbridge, T167)",  ,  ,V,G,2.0,0,14-12(a)*,,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890158284458,1/2/2016 8:30,8:30:29 AM,r3,,,Registration,2016
7/21/2016 11:36,2698400.0,CT0016700,Woodbridge,Racial Profile,185,1600000100,Incident ID,"Saturday, January 02, 2016",January,W,N,M,45,1,0,Woodbridge,Route 69/Dillon Road,  ,  ,V,G,1.0,0,14-219(c)(2),,0,N,0,0,V,,,,,0,1.0,CT0016700,131135890158284458,1/2/2016 21:55,9:55:29 PM,r3,,,Speed Related,2016
7/21/2016 11:36,2698456.0,CT0016700,Woodbridge,Racial Profile,238,1600000071,Incident ID,"Saturday, January 02, 2016",January,W,N,M,27,1,0,Woodbridge,RIM/RIM,  ,  ,V,G,1.0,0,14-292,,0,N,0,0,W,,,,,0,1.0,CT0016700,131135890158284458,1/2/2016 8:05,8:05:08 AM,r3,,,Other,2016
7/21/2016 11:36,2698457.0,CT0016700,Woodbridge,Racial Profile,238,1600000072,Incident ID,"Saturday, January 02, 2016",January,W,N,F,25,1,0,Woodbridge,rimmon ,  ,  ,V,B,1.0,0,14218,,0,N,0,0,V,,,,,0,1.0,CT0016700,131135890158284458,1/2/2016 8:18,8:18:16 AM,r3,,,Speed Related,2016
7/21/2016 11:36,2698458.0,CT0016700,Woodbridge,Racial Profile,238,1600000073,Incident ID,"Saturday, January 02, 2016",January,W,N,F,28,1,0,Woodbridge,Rimmon/Rrimmon hill,  ,  ,V,B,1.0,0,14-219(c)(2),,0,N,0,0,M,,,,,0,1.0,CT0016700,131135890158284458,1/2/2016 8:27,8:27:40 AM,r3,,,Speed Related,2016
7/21/2016 11:36,2698459.0,CT0016700,Woodbridge,Racial Profile,238,1600000077,Incident ID,"Saturday, January 02, 2016",January,W,N,F,33,1,0,Woodbridge,RIM/RIM,  ,  ,V,G,1.0,0,14-296,,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890158284458,1/2/2016 8:53,8:53:30 AM,r3,,,Cell Phone,2016
7/21/2016 11:36,2698478.0,CT0016700,Woodbridge,Racial Profile,239,1600000075,Incident ID,"Saturday, January 02, 2016",January,W,N,F,30,1,0,Woodbridge,RIM/RIM,  ,  ,V,G,1.0,0,14-219B,,0,N,0,0,V,,,,,0,1.0,CT0016700,131135890158284458,1/2/2016 8:49,8:49:04 AM,r3,,,Speed Related,2016
7/21/2016 11:36,2698479.0,CT0016700,Woodbridge,Racial Profile,239,1600000078,Incident ID,"Saturday, January 02, 2016",January,W,N,M,37,1,0,Woodbridge,RIM/RIM,  ,  ,V,G,3.0,1,14-213(b)*,,0,N,0,0,M,,,,,0,1.0,CT0016700,131135890158284458,1/2/2016 8:59,8:59:53 AM,r3,,,Administrative Offense,2016
7/21/2016 11:36,2698398.0,CT0016700,Woodbridge,Racial Profile,177,1600000134,Incident ID,"Sunday, January 03, 2016",January,W,N,F,67,1,0,Woodbridge,"  AMITY RD/BANK ST (Woodbridge, T167)",  ,  ,V,G,1.0,0,14-12(a)*,,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890158284458,1/3/2016 10:04,10:04:49 AM,r3,,,Registration,2016
7/21/2016 11:36,2698420.0,CT0016700,Woodbridge,Racial Profile,217,1600000108,Incident ID,"Sunday, January 03, 2016",January,W,N,F,22,1,0,Woodbridge,"  AMITY RD/BRADLEY RD (Woodbridge, T167)",  ,  ,E,G,1.0,0,14-96b,,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890158284458,1/3/2016 0:57,12:57:46 AM,r3,,,Defective Lights,2016
7/21/2016 11:36,2698435.0,CT0016700,Woodbridge,Racial Profile,234,1600000121,Incident ID,"Sunday, January 03, 2016",January,B,N,M,23,1,0,Woodbridge,"  LITCHFIELD TPK/DILLON RD (Woodbridge, T167)",  ,  ,V,B,1.0,0,14-218a,,0,N,0,0,I,,,,,0,1.0,CT0016700,131135890158284458,1/3/2016 4:53,4:53:19 AM,r3,,,Speed Related,2016
7/21/2016 11:36,2698460.0,CT0016700,Woodbridge,Racial Profile,238,1600000124,Incident ID,"Sunday, January 03, 2016",January,W,N,F,36,1,0,Woodbridge,313/rimmon hill,  ,  ,V,B,1.0,0,14-219(c)(2),,0,N,0,0,M,,,,,0,1.0,CT0016700,131135890158284458,1/3/2016 7:38,7:38:30 AM,r3,,,Speed Related,2016
7/21/2016 11:36,2698461.0,CT0016700,Woodbridge,Racial Profile,238,1600000125,Incident ID,"Sunday, January 03, 2016",January,W,N,F,39,1,0,Woodbridge,RIMMON/RANCH,  ,  ,V,G,1.0,0,14-219C2,,0,N,0,0,V,,,,,0,1.0,CT0016700,131135890158284458,1/3/2016 7:56,7:56:32 AM,r3,,,Speed Related,2016
