CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
6/18/18 18:15,4119370.0,CT0011300,Portland,Racial Profile,20321,18-2687,Incident ID,"Saturday, June 9, 2018",June,W,N,M,37,True,False,Portland,MAIN ST AND STRONGS AVE,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_929795,6/9/18 8:40,8:40:00 AM,r5,,,Speed Related,2018
6/18/18 18:15,4119371.0,CT0011300,Portland,Racial Profile,20321,18-2689,Incident ID,"Saturday, June 9, 2018",June,W,N,F,59,True,True,Portland,PORTLAND COBALT RD,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_929803,6/9/18 9:02,9:02:00 AM,r5,,,Speed Related,2018
6/18/18 18:15,4119372.0,CT0011300,Portland,Racial Profile,20321,18-2695,Incident ID,"Saturday, June 9, 2018",June,W,N,F,39,True,False,Portland,PORTLAND COBALT RD,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_929809,6/9/18 10:34,10:34:00 AM,r5,,,Speed Related,2018
6/18/18 18:15,4119373.0,CT0011300,Portland,Racial Profile,20321,18-2696,Incident ID,"Saturday, June 9, 2018",June,W,N,F,16,True,False,Portland,PORTLAND COBALT RD,  ,  ,V,G,1.0,0,14-219(b)4,,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_929810,6/9/18 15:35,3:35:00 PM,r5,,,Speed Related,2018
6/18/18 18:16,4119375.0,CT0011300,Portland,Racial Profile,20321,18-2715,Incident ID,"Sunday, June 10, 2018",June,W,N,F,35,True,True,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_929860,6/10/18 12:42,12:42:00 PM,r5,,,Speed Related,2018
6/18/18 18:16,4119376.0,CT0011300,Portland,Racial Profile,20321,18-2716,Incident ID,"Sunday, June 10, 2018",June,W,N,M,34,True,False,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_929861,6/10/18 12:43,12:43:00 PM,r5,,,Speed Related,2018
6/18/18 18:16,4119378.0,CT0011300,Portland,Racial Profile,20321,18-2731,Incident ID,"Monday, June 11, 2018",June,W,N,F,19,True,True,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_929904,6/11/18 12:18,12:18:00 PM,r5,,,Speed Related,2018
6/25/18 18:14,4121394.0,CT0011300,Portland,Racial Profile,20321,18-2755,Incident ID,"Tuesday, June 12, 2018",June,W,N,F,73,True,True,Portland,AMES HOLLOW RD,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_929954,6/12/18 9:33,9:33:00 AM,r5,,,Speed Related,2018
6/25/18 18:14,4121393.0,CT0011300,Portland,Racial Profile,20321,18-2758,Incident ID,"Tuesday, June 12, 2018",June,W,N,F,20,True,True,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_929952,6/12/18 9:32,9:32:00 AM,r5,,,Speed Related,2018
6/25/18 18:14,4121395.0,CT0011300,Portland,Racial Profile,20321,18-2761,Incident ID,"Tuesday, June 12, 2018",June,W,N,M,67,True,False,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_929963,6/12/18 10:14,10:14:00 AM,r5,,,Speed Related,2018
6/25/18 18:14,4121396.0,CT0011300,Portland,Racial Profile,20321,18-2762,Incident ID,"Tuesday, June 12, 2018",June,B,N,M,56,True,False,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_929966,6/12/18 11:26,11:26:00 AM,r5,,,Speed Related,2018
6/25/18 18:15,4121419.0,CT0011300,Portland,Racial Profile,20321,18-2868,Incident ID,"Saturday, June 16, 2018",June,W,N,M,64,True,True,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_930248,6/16/18 14:29,2:29:00 PM,r5,,,Speed Related,2018
6/25/18 18:15,4121420.0,CT0011300,Portland,Racial Profile,20321,18-2869,Incident ID,"Saturday, June 16, 2018",June,W,N,F,19,True,True,Portland,MAIN ST,  ,  ,V,G,2.0,0,14-219(c)(2),,False,N,False,True,M,,,,,False,1.0,CAPTAIN,CAPTAIN_930251,6/16/18 14:31,2:31:00 PM,r5,,,Speed Related,2018
6/25/18 18:15,4121421.0,CT0011300,Portland,Racial Profile,20321,18-2880,Incident ID,"Sunday, June 17, 2018",June,W,H,F,36,True,False,Portland,PORTLAND COBALT RD,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_930294,6/17/18 9:35,9:35:00 AM,r5,,,Speed Related,2018
6/25/18 18:15,4121424.0,CT0011300,Portland,Racial Profile,20321,18-2902,Incident ID,"Monday, June 18, 2018",June,W,N,F,49,True,True,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_930322,6/18/18 10:33,10:33:00 AM,r5,,,Speed Related,2018
6/25/18 18:15,4121425.0,CT0011300,Portland,Racial Profile,20321,18-2906,Incident ID,"Monday, June 18, 2018",June,W,N,F,57,True,False,Portland,MAIN ST,  ,  ,V,G,2.0,0,14-219(b),,False,N,False,False,I,,,,,False,1.0,CAPTAIN,CAPTAIN_930329,6/18/18 10:36,10:36:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123909.0,CT0011300,Portland,Racial Profile,20321,18-2923,Incident ID,"Tuesday, June 19, 2018",June,W,N,F,40,True,False,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_930362,6/19/18 11:40,11:40:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123910.0,CT0011300,Portland,Racial Profile,20321,18-2926,Incident ID,"Tuesday, June 19, 2018",June,W,N,F,32,True,True,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_930364,6/19/18 11:42,11:42:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123911.0,CT0011300,Portland,Racial Profile,20321,18-2930,Incident ID,"Tuesday, June 19, 2018",June,W,H,M,32,True,False,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_930366,6/19/18 13:16,1:16:00 PM,r5,,,Speed Related,2018
7/2/18 18:09,4123915.0,CT0011300,Portland,Racial Profile,20321,18-2949,Incident ID,"Wednesday, June 20, 2018",June,W,N,F,34,True,False,Portland,MARLBOROUGH ST,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_930402,6/20/18 9:08,9:08:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123916.0,CT0011300,Portland,Racial Profile,20321,18-2961,Incident ID,"Wednesday, June 20, 2018",June,A,N,F,51,True,False,Portland,MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_930414,6/20/18 9:10,9:10:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123923.0,CT0011300,Portland,Racial Profile,20321,18-3027,Incident ID,"Sunday, June 24, 2018",June,W,N,M,48,True,False,Portland,MARLBOROUGH ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_930571,6/24/18 6:18,6:18:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123924.0,CT0011300,Portland,Racial Profile,20321,18-3028,Incident ID,"Sunday, June 24, 2018",June,B,N,M,20,True,False,Portland,MARLBOROUGH ST,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_930572,6/24/18 6:21,6:21:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123925.0,CT0011300,Portland,Racial Profile,20321,18-3029,Incident ID,"Sunday, June 24, 2018",June,W,N,F,32,True,False,Portland,MARLBOROUGH ST,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_930573,6/24/18 6:48,6:48:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123927.0,CT0011300,Portland,Racial Profile,20321,18-3035,Incident ID,"Sunday, June 24, 2018",June,W,N,F,50,True,False,Portland,PORTLAND COBALT RD,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CAPTAIN,CAPTAIN_930577,6/24/18 7:08,7:08:00 AM,r5,,,Speed Related,2018
7/2/18 18:09,4123929.0,CT0011300,Portland,Racial Profile,20321,18-3038,Incident ID,"Sunday, June 24, 2018",June,W,N,M,74,True,False,Portland,PORTLAND COBALT RD,  ,  ,V,G,1.0,0,14-219(b),,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_930579,6/24/18 11:01,11:01:00 AM,r5,,,Speed Related,2018
7/2/18 18:10,4123930.0,CT0011300,Portland,Racial Profile,20321,18-3039,Incident ID,"Sunday, June 24, 2018",June,W,N,F,48,True,True,Portland,AMES HOLLOW RD,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CAPTAIN,CAPTAIN_930581,6/24/18 11:40,11:40:00 AM,r5,,,Speed Related,2018
