CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
1/1/20 1:21,4966682.0,CT0010900,Plainfield,Racial Profile,148,20-3,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,48,False,False,Plainfield,1138 NORWICH RD,  ,  ,V,G,1.0,0,14-96,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware99051,1/1/20 0:44,00:44:00,r7,,,Defective Lights,2020
1/1/20 19:36,4967215.0,CT0010900,Plainfield,Racial Profile,148,20-32,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,F,21,True,True,Moosup,WARD AVE,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware40568,1/1/20 19:27,19:27:00,r7,,,Speed Related,2020
1/1/20 21:26,4967222.0,CT0010900,Plainfield,Racial Profile,148,20-35,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,22,True,True,Moosup,WARD AVE,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware39516,1/1/20 19:44,19:44:00,r7,,,Speed Related,2020
1/1/20 1:37,4966686.0,CT0010900,Plainfield,Racial Profile,148,20-5,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,F,34,False,False,Plainfield,LATHROP RD,  ,  ,V,G,1.0,0,14-242,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware55266,1/1/20 0:55,00:55:00,r7,,,Moving Violation,2020
1/1/20 1:28,4966683.0,CT0010900,Plainfield,Racial Profile,148,20-5,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,F,34,False,False,Plainfield,LATHROP RD,  ,  ,V,G,1.0,0,14-242,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware99965,1/1/20 0:55,00:55:00,r7,,,Moving Violation,2020
1/1/20 3:17,4966697.0,CT0010900,Plainfield,Racial Profile,148,20-6,CAD Identifier,"Wednesday, 1 January 2020",January,B,N,M,49,False,False,Plainfield,LATHROP RD,  ,  ,V,G,1.0,0,14-242,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware68617,1/1/20 1:04,01:04:00,r7,,,Moving Violation,2020
1/1/20 16:32,4967208.0,CT0010900,Plainfield,Racial Profile,164,20-22,CAD Identifier,"Wednesday, 1 January 2020",January,B,N,M,21,True,False,Plainfield,EASY ST,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware23925,1/1/20 15:06,15:06:00,r7,,,Stop Sign,2020
1/1/20 17:44,4967211.0,CT0010900,Plainfield,Racial Profile,164,20-28,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,43,True,True,Moosup,MAIN ST,  ,  ,V,G,1.0,0,14-230,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware28226,1/1/20 17:26,17:26:00,r7,,,Moving Violation,2020
1/1/20 4:29,4966704.0,CT0010900,Plainfield,Racial Profile,167,20-12,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,54,False,False,Central Village,EAST MAIN ST,  ,  ,V,G,1.0,0,14-242,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware48522,1/1/20 4:14,04:14:00,r7,,,Moving Violation,2020
1/1/20 20:33,4967220.0,CT0010900,Plainfield,Racial Profile,179,20-36,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,F,34,True,True,Central Village,74 EAST MAIN ST,  ,  ,V,G,1.0,0,14-242,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware38445,1/1/20 19:47,19:47:00,r7,,,Moving Violation,2020
1/1/20 20:22,4967219.0,CT0010900,Plainfield,Racial Profile,179,20-37,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,23,True,False,Moosup,69 PROSPECT ST,  ,  ,V,G,1.0,0,14-18,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware63033,1/1/20 19:49,19:49:00,r7,,,Display of Plates,2020
1/1/20 20:17,4967218.0,CT0010900,Plainfield,Racial Profile,179,20-40,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,F,39,True,True,Central Village,EAST MAIN ST,  ,  ,V,G,1.0,0,14-236,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware56649,1/1/20 20:13,20:13:00,r7,,,Moving Violation,2020
1/1/20 23:50,4967237.0,CT0010900,Plainfield,Racial Profile,179,20-55,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,45,True,False,Central Village,EAST MAIN ST,  ,  ,E,G,1.0,0,14-96,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware78575,1/1/20 23:39,23:39:00,r7,,,Defective Lights,2020
1/4/20 21:47,4970397.0,CT0010900,Plainfield,Racial Profile,184,20-34,CAD Identifier,"Wednesday, 1 January 2020",January,W,H,M,29,True,True,Central Village,PUTNAM RD,  ,  ,V,G,1.0,0,14-96b,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware97823,1/1/20 19:38,19:38:00,r7,,,Defective Lights,2020
1/1/20 22:48,4967226.0,CT0010900,Plainfield,Racial Profile,184,20-49,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,F,26,True,True,Plainfield,NORWICH RD,  ,  ,V,G,1.0,0,14-96c,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware35465,1/1/20 22:28,22:28:00,r7,,,Defective Lights,2020
1/1/20 23:55,4967241.0,CT0010900,Plainfield,Racial Profile,184,20-56,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,25,False,True,Central Village,EAST MAIN ST,  ,  ,E,G,1.0,0,14-96a,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware37994,1/1/20 23:40,23:40:00,r7,,,Defective Lights,2020
1/4/20 21:42,4970396.0,CT0010900,Plainfield,Racial Profile,189,20-33,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,43,True,False,Plainfield,615 NORWICH RD,  ,  ,V,G,1.0,0,14-96b,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware13319,1/1/20 19:35,19:35:00,r7,,,Defective Lights,2020
1/1/20 20:00,4967217.0,CT0010900,Plainfield,Racial Profile,189,20-38,CAD Identifier,"Wednesday, 1 January 2020",January,W,N,M,59,True,True,Plainfield,83 LATHROP RD,  ,  ,V,G,1.0,0,14-244,,False,N,False,False,V,01/01/2020 00:00,Verbal Warning,,,False,1.0,CT0010900,TriTechSoftware88103,1/1/20 19:54,19:54:00,r7,,,Moving Violation,2020
