CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
10/17/22 6:35,6232814.0,CTDI00300,Mohegan Tribal Police,Racial Profile,182,319903,Incident Id,"Wednesday, October 12, 2022",October,W,H,F,51,True,False,UNCASVILLE,1 MOHEGAN SUN BLVD,  ,  ,V,G,1.0,0,14-96A,,False,N,False,False,V,,,,,False,1.0,COLLECT,c16f3c62-54b2-421c-b,10/12/22 0:45,12:45 AM,r9,,,Defective Lights,2022
5/16/22 6:35,6034838.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10101,315765,Incident Id,"Saturday, May 14, 2022",May,W,N,M,22,True,False,UNCASVILLE,EMMA BAKER WAY,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,COLLECT,188e3b5e-1919-424f-a,5/14/22 15:25,3:25 PM,r9,STOP SIGN,,Stop Sign,2022
8/8/22 6:35,6132358.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10101,317299,Incident Id,"Friday, August 5, 2022",August,W,N,M,33,True,False,UNCASVILLE,MOHEGAN SUN,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,COLLECT,7deba42e-2f5a-4b31-a,8/5/22 11:20,11:20 AM,r9,,,Traffic Control Signal,2022
9/5/22 6:35,6195190.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10101,318565,Incident Id,"Sunday, September 4, 2022",September,W,N,M,41,True,False,UNCASVILLE,MOHEGAN SUN BOULEVARD,  ,  ,V,G,1.0,0,14-96A,,False,N,False,False,V,,,,,False,1.0,COLLECT,6af784e4-8f53-4097-a,9/4/22 22:18,10:18 PM,r9,,,Defective Lights,2022
9/5/22 6:35,6195191.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10101,318566,Incident Id,"Sunday, September 4, 2022",September,A,N,M,35,True,False,UNCASVILLE,EMMA BAKER WAY,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,V,,,,,False,1.0,COLLECT,6af784e4-8f53-4097-a,9/4/22 22:50,10:50 PM,r9,,,Stop Sign,2022
10/3/22 6:35,6217475.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10106,319571,Incident Id,"Thursday, September 29, 2022",September,W,N,F,51,True,False,UNCASVILLE,MOHEGAN SUN CASINO,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,V,,,,,False,1.0,COLLECT,1f4c395a-5147-43e1-8,9/29/22 5:08,5:08 AM,r9,,,Stop Sign,2022
10/31/22 6:35,6246341.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10106,320299,Incident Id,"Tuesday, October 25, 2022",October,B,N,M,61,False,False,UNCASVILLE,COVE RD,  ,  ,V,G,1.0,0,MV-20,,False,N,False,False,V,,,,,False,1.0,COLLECT,0e10269b-b253-45fd-a,10/25/22 16:47,4:47 PM,r9,,,Other,2022
5/23/22 6:35,6049590.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10120,315808,Incident Id,"Monday, May 16, 2022",May,W,N,M,59,True,True,UNCASVILLE,MOHEGAN SUN CASINO,  ,  ,V,G,1.0,0,14-290,,False,N,False,False,V,,,,,False,1.0,COLLECT,58e3558d-b1b9-4e49-b,5/16/22 17:47,5:47 PM,r9,,,Other,2022
7/4/22 6:35,6101772.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10120,316690,Incident Id,"Saturday, July 2, 2022",July,B,N,M,17,True,False,UNCASVILLE,MOHEGAN SUN,  ,  ,V,G,1.0,0,14-247,,False,N,False,False,V,,,,,False,1.0,COLLECT,9d8cb04f-1ce5-472e-9,7/2/22 16:48,4:48 PM,r9,,,Moving Violation,2022
7/4/22 6:35,6101774.0,CTDI00300,Mohegan Tribal Police,Racial Profile,PSC10120,316692,Incident Id,"Saturday, July 2, 2022",July,W,H,M,38,True,False,UNCASVILLE,COVE ROAD WINTER LOT,  ,  ,V,G,1.0,0,14-301,,False,N,False,True,V,,,,,False,1.0,COLLECT,9d8cb04f-1ce5-472e-9,7/2/22 17:19,5:19 PM,r9,,,Stop Sign,2022
