CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
2/15/22 7:20,5924488.0,CT0016400,Windsor,Racial Profile,205,2200000083,Incident ID,"Sunday, January 2, 2022",January,W,N,M,35,False,False,WINDSOR,91 ,  ,  ,V,G,3.0,0,14-218a,,True,O,True,False,V,,,,,False,1.0,CT0016400,132894012543561682,1/2/22 2:28,2:28 AM,r9,21a-267,,Speed Related,2022
2/15/22 7:20,5924489.0,CT0016400,Windsor,Racial Profile,205,2200001145,Incident ID,"Friday, January 14, 2022",January,W,H,M,40,True,False,WINDSOR,bloomfield ave,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,CT0016400,132894012543561682,1/14/22 6:27,6:27 AM,r9,,,Traffic Control Signal,2022
2/15/22 7:20,5924490.0,CT0016400,Windsor,Racial Profile,205,2200001753,Incident ID,"Friday, January 21, 2022",January,W,H,M,27,True,False,WINDSOR,"00805 BLOOMFIELD AVE (WINDSOR, T164)",  ,  ,V,G,2.0,0,14-12(a)*,,False,N,False,False,I,,,,,False,1.0,CT0016400,132894012543561682,1/21/22 0:14,12:14 AM,r9,,,Registration,2022
2/15/22 7:20,5924491.0,CT0016400,Windsor,Racial Profile,205,2200001754,Incident ID,"Friday, January 21, 2022",January,W,N,F,28,True,False,WINDSOR,305 at Brewster rd,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CT0016400,132894012543561682,1/21/22 0:40,12:40 AM,r9,,,Speed Related,2022
2/15/22 7:20,5924492.0,CT0016400,Windsor,Racial Profile,205,2200001758,Incident ID,"Friday, January 21, 2022",January,W,N,F,40,True,False,WINDSOR,"00652 WEST WOLCOTT AVE (WINDSOR, T164)",  ,  ,V,G,2.0,0,14-219(b),,False,N,False,False,I,,,,,False,1.0,CT0016400,132894012543561682,1/21/22 1:10,1:10 AM,r9,,,Speed Related,2022
2/15/22 7:20,5924493.0,CT0016400,Windsor,Racial Profile,205,2200001948,Incident ID,"Sunday, January 23, 2022",January,B,H,M,27,True,False,WINDSOR,00621 WEST WOLCOTT AVE,  ,  ,V,G,1.0,0,14-219(c)(1),,False,N,False,False,W,,,,,False,1.0,CT0016400,132894012543561682,1/23/22 2:10,2:10 AM,r9,,,Speed Related,2022
2/15/22 7:20,5924494.0,CT0016400,Windsor,Racial Profile,205,2200001952,Incident ID,"Sunday, January 23, 2022",January,B,N,M,27,False,False,WINDSOR,BLOOMFIELD AVE AT SHEFFIELD,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CT0016400,132894012543561682,1/23/22 2:33,2:33 AM,r9,,,Speed Related,2022
2/15/22 7:20,5924495.0,CT0016400,Windsor,Racial Profile,205,2200002289,Incident ID,"Thursday, January 27, 2022",January,W,N,M,1,False,False,WINDSOR,b,  ,  ,I,B,1.0,0,1-10,,False,N,False,False,N,,,,,False,1.0,CT0016400,132894012543561682,1/27/22 4:19,4:19 AM,r9,,,Other,2022
2/15/22 7:20,5924496.0,CT0016400,Windsor,Racial Profile,205,2200002351,Incident ID,"Thursday, January 27, 2022",January,W,H,F,41,True,False,WINDSOR,305 at addison rd,  ,  ,V,G,1.0,0,14-219,,False,N,False,False,V,,,,,False,1.0,CT0016400,132894012543561682,1/27/22 23:39,11:39 PM,r9,,,Speed Related,2022
2/15/22 7:20,5924497.0,CT0016400,Windsor,Racial Profile,205,2200002353,Incident ID,"Thursday, January 27, 2022",January,W,H,M,22,True,False,WINDSOR,305 at addison,  ,  ,V,G,1.0,0,14-219,,False,N,False,False,V,,,,,False,1.0,CT0016400,132894012543561682,1/27/22 23:50,11:50 PM,r9,,,Speed Related,2022
