CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year,Reason for Stop
2025-02-26 16:13:42.700000,7240166.0,CTCSP1000,CSP Troop I,Racial Profile,1000003165,2500000251,Incident ID,2025-01-01 00:00:00,January,B,H,M,39,True,True,BRIDGEPORT,RT 8 S/B EXIT 2B,41 12 26.2764000000,73 11 25.7748000000,V,G,3.0,1,14-236,,True,O,False,True,U,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-01 07:23:11.380000,07:23:11.380000,2025,14*227A,,,2025,Moving Violation
2025-02-26 16:13:42.970000,7240244.0,CTCSP1000,CSP Troop I,Racial Profile,1000004112,2500000514,Incident ID,2025-01-01 00:00:00,January,B,N,F,56,True,False,WALLINGFORD,RT 15 NB x64,41 27 12.9420000000,72 50 24.2520000000,V,G,1.0,0,14-219(c)(1),,False,N,False,False,V,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-01 11:23:03.977000,11:23:03.977000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.483000,7240381.0,CTCSP1000,CSP Troop I,Racial Profile,1000004316,2500000927,Incident ID,2025-01-01 00:00:00,January,W,N,M,55,True,False,BEACON FALLS,"00000 BLACKBERRY HILL RD (BEACON FALLS, T006)",41 26 4.1712000000,73 1 42.7080000000,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-01 19:53:21.643000,19:53:21.643000,2025,,,,2025,Stop Sign
2025-02-26 16:13:43.587000,7240417.0,CTCSP1000,CSP Troop I,Racial Profile,1000004416,2500000636,Incident ID,2025-01-01 00:00:00,January,W,H,M,25,True,True,NEW HAVEN,"00000 MIDDLETOWN AVE (NEW HAVEN, T093)",41 19 25.2984000000,72 53 7.8720000000,V,B,1.0,0,14-147(c),,False,N,False,False,M,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-01 13:57:07.130000,13:57:07.130000,2025,14-215,,,2025,Administrative Offense
2025-02-26 16:13:44.167000,7240641.0,CTCSP1000,CSP Troop I,Racial Profile,1000004884,2500000689,Incident ID,2025-01-01 00:00:00,January,W,N,M,37,True,False,BEACON FALLS,"00000 RAMP 24 RT 8 N  (BEACON FALLS, T006)",41 26 45.9708000000,73 4 0.6600000000,V,B,2.0,1,14-12(a)*,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-01 14:53:19.410000,14:53:19.410000,2025,,,,2025,Registration
2025-02-26 16:13:44.170000,7240642.0,CTCSP1000,CSP Troop I,Racial Profile,1000004884,2500000965,Incident ID,2025-01-01 00:00:00,January,W,H,M,51,True,False,SEYMOUR,00000 MAIN ST,41 23 43.1916000000,73 4 21.8280000000,V,B,1.0,0,14-12(a),,False,N,False,False,W,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-01 20:50:01.347000,20:50:01.347000,2025,,,,2025,Registration
2025-02-26 16:13:42.883000,7240226.0,CTCSP1000,CSP Troop I,Racial Profile,1000003898,2500002294,Incident ID,2025-01-02 00:00:00,January,B,N,M,26,True,False,WALLINGFORD,"00015 I 91  (WALLINGFORD, T148)",41 29 7.4184000000,72 46 5.6280000000,V,B,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 16:26:46.290000,16:26:46.290000,2025,,,,2025,Speed Related
2025-02-26 16:13:42.890000,7240228.0,CTCSP1000,CSP Troop I,Racial Profile,1000003898,2500002360,Incident ID,2025-01-02 00:00:00,January,W,H,M,21,True,False,WALLINGFORD,I91 N/B exit 15,41 27 50.5908000000,72 46 33.3480000000,V,G,1.0,0,14-18(a),,False,N,False,True,V,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 17:05:29.173000,17:05:29.173000,2025,,,,2025,Display of Plates
2025-02-26 16:13:42.913000,7240231.0,CTCSP1000,CSP Troop I,Racial Profile,1000004022,2500002235,Incident ID,2025-01-02 00:00:00,January,W,H,M,47,True,False,WALLINGFORD,"00000 I 91  (WALLINGFORD, T148)",41 29 17.8620000000,72 46 3.8280000000,V,B,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 15:53:18.170000,15:53:18.170000,2025,,,,2025,Speed Related
2025-02-26 16:13:42.917000,7240232.0,CTCSP1000,CSP Troop I,Racial Profile,1000004022,2500002312,Incident ID,2025-01-02 00:00:00,January,W,N,M,66,False,False,MERIDEN,"00000 EXIT 16 I 91 N  (MERIDEN, T080)",41 31 7.6980000000,72 46 15.0600000000,V,B,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 16:34:44.920000,16:34:44.920000,2025,14-219,,,2025,Speed Related
